inn,name,employees,okved_main,region,contacts,site,source
7710022410,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИНСТИТУТ ПО ПРОЕКТИРОВАНИЮ МАГИСТРАЛЬНЫХ ТРУБОПРОВОДОВ""",3190,62,Г. МОСКВА,+7-495-950-86-50,http://giprotruboprovod.transneft.ru,www.list-org.com
5030065734,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОСТЕЛЕКОМ ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ""",3118,62,Г. МОСКВА,+7-495-992-04-06,—,www.list-org.com
8905032518,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗПРОМНЕФТЬ ИНФОРМАЦИОННО-ТЕХНОЛОГИЧЕСКИЙ ОПЕРАТОР""",2820,62,Г. САНКТ-ПЕТЕРБУРГ,+7-3496-37-20-89,www.nngs.gazprom-neft.ru,www.list-org.com
7725629159,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НВБС""",2777,62,Г. МОСКВА,+7-495-252-03-50,—,www.list-org.com
3528007105,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕВЕРСТАЛЬ-ИНФОКОМ""",2575,62,"ВОЛОГОДСКАЯ ОБЛАСТЬ,Г. ЧЕРЕПОВЕЦ",+7-8202-53-62-00,—,www.list-org.com
7713728490,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""Философия.ИТ""",2565,62,Г. МОСКВА,+7-495-988-37-38,—,www.list-org.com
9704107589,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЯНДЕКС.ДОСТАВКА ХОЛДИНГ""",2427,62,Г. МОСКВА,+7-925-099-43-49,—,www.list-org.com
7713479734,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЫМПЕЛКОМ-ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ""",2357,62,"МОСКОВСКАЯ ОБЛАСТЬ,КРАСНОГОРСК",+7-985-212-14-48,—,www.list-org.com
7704370385,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РСХБ-ИНТЕХ""",2284,62,Г. МОСКВА,—,—,www.list-org.com
7736632467,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК - ТЕХНОЛОГИИ""",2242,62,Г. МОСКВА,+7-495-669-08-08,www.sber-tech.com,www.list-org.com
7736207543,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЯНДЕКС""",2214,62,Г. МОСКВА,+7-495-739-70-00,—,www.list-org.com
9718101499,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЯНДЕКС.ЛАВКА""",2191,62,Г. МОСКВА,+7-916-683-83-96,—,www.list-org.com
5407125059,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЦЕНТР ФИНАНСОВЫХ ТЕХНОЛОГИЙ""",2108,62,"НОВОСИБИРСКАЯ ОБЛАСТЬ,РАБОЧИЙ ПОСЕЛОК КОЛЬЦОВО",+7-383-339-92-49,—,www.list-org.com
7713488827,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПОРТМАСТЕР ЛАБ""",1892,62,Г. МОСКВА,—,—,www.list-org.com
278005403,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕФТЕАВТОМАТИКА""",1882,62,"БАШКОРТОСТАН РЕСПУБЛИКА,Г. УФА",+7-800-700-78-68,www.nefteavtomatika.ru,www.list-org.com
1655251590,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАРС ГРУП""",1875,62,"ТАТАРСТАН РЕСПУБЛИКА,ГОРОД КАЗАНЬ",+7-843-524-71-15,bars-open.ru,www.list-org.com
9725070121,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦИФРОВЫЕ ТЕХНОЛОГИИ И ПЛАТФОРМЫ""",1785,62,Г. МОСКВА,—,—,www.list-org.com
9710089440,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АВИТО ТЕХ""",1710,62,Г. МОСКВА,—,—,www.list-org.com
7711077412,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""КОНСИСТ - ОПЕРАТОР СВЯЗИ""",1548,62,Г. МОСКВА,+7-495-710-64-15,consyst-oc.ru,www.list-org.com
7726398419,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБИНТЕК-СОФТ""",1507,62,"МОСКОВСКАЯ ОБЛАСТЬ,ХИМКИ",+7-495-739-83-00,—,www.list-org.com
9731028505,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЖЕЙ ЭС ЭЙ ГРУПП""",1450,62,Г. МОСКВА,+7-495-981-55-55,—,www.list-org.com
6663003127,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПРОИЗВОДСТВЕННАЯ ФИРМА ""СКБ КОНТУР""",1404,62,"СВЕРДЛОВСКАЯ ОБЛАСТЬ,ГОРОД ЕКАТЕРИНБУРГ",+7-800-500-50-80,skbkontur.ru,www.list-org.com
5047053920,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РТ ЛАБС""",1398,62,"МОСКОВСКАЯ ОБЛАСТЬ,Г ХИМКИ",+7-495-573-33-20,—,www.list-org.com
7717152779,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛТ""",1396,62,Г. МОСКВА,—,—,www.list-org.com
7707758779,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НПО ""Криста""",1390,62,Г. МОСКВА,+7-4855-29-17-21,www.krista.ru,www.list-org.com
7704160892,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЙ-ТЕКО""",1386,62,Г. МОСКВА,+7-495-777-10-95,www.i-teco.ru,www.list-org.com
9701078611,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СКИЛБОКС""",1386,62,Г. МОСКВА,+7-495-984-41-77,—,www.list-org.com
7325029206,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИМБИРСОФТ""",1342,62,"УЛЬЯНОВСКАЯ ОБЛАСТЬ,Г. УЛЬЯНОВСК",+7-8422-44-84-16,www.simbirsoft.com,www.list-org.com
5003150437,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВБ ТЕХ""",1330,62,"Московская область,ГОРОДСКОЙ ОКРУГ ПОДОЛЬСК",—,—,www.list-org.com
7704869777,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РТ-ИНВЕСТ ТРАНСПОРТНЫЕ СИСТЕМЫ""",1325,62,Г. МОСКВА,—,http://transyst.ru,www.list-org.com
7706673610,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БЮДЖЕТНЫЕ И ФИНАНСОВЫЕ ТЕХНОЛОГИИ""",1293,62,"БЕЛГОРОДСКАЯ ОБЛАСТЬ,Г. БЕЛГОРОД",+7-472-240-01-84,http://bd-t.ru,www.list-org.com
7838017968,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГАЗИНФОРМСЕРВИС""",1272,62,Г. САНКТ-ПЕТЕРБУРГ,+7-812-784-65-61,www.gaz-is.ru,www.list-org.com
7206057388,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИБУР ДИДЖИТАЛ""",1264,62,"ТЮМЕНСКАЯ ОБЛАСТЬ,Г. ТОБОЛЬСК",+7-495-777-55-00,—,www.list-org.com
7713721689,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИБС Софт""",1254,62,Г. МОСКВА,+7-495-967-80-80,—,www.list-org.com
7715744096,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""Эдвансед Трансформейшн Консалтинг""",1213,62,Г. МОСКВА,+7-495-748-05-75,—,www.list-org.com
9718107268,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""Т1 ИННОВАЦИИ""",1150,62,Г. МОСКВА,+7-495-981-92-92,—,www.list-org.com
9729303666,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПОЧТОВЫЕ ТЕХНОЛОГИИ""",1145,62,Г. МОСКВА,+7-495-956-20-67,—,www.list-org.com
9717102235,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГПБ-ИТ1""",1127,62,Г. МОСКВА,—,—,www.list-org.com
5042060280,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""Отраслевой центр разработки и внедрения информационных систем""",1111,62,Г. МОСКВА,+7-499-504-01-85,www.ocrv.ru,www.list-org.com
9705118150,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНСТАМАРТ ТЕХНОЛОДЖИС""",1110,62,"МОСКОВСКАЯ ОБЛАСТЬ,ХИМКИ",—,—,www.list-org.com
7801392271,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРКОРУС""",1079,62,Г. САНКТ-ПЕТЕРБУРГ,+7-800-100-88-12,https://www.esphere.ru,www.list-org.com
5408287824,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДГ-Софт""",1047,62,"НОВОСИБИРСКАЯ ОБЛАСТЬ,Г. НОВОСИБИРСК",+7-913-915-27-35,dg-soft.ru,www.list-org.com
7728795443,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ОРДЕНА ТРУДОВОГО КРАСНОГО ЗНАМЕНИ НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ АВТОМАТИЧЕСКОЙ АППАРАТУРЫ ИМ. АКАДЕМИКА В.С. СЕМЕНИХИНА""",1039,62,Г. МОСКВА,+7-495-330-52-22,niiaa.ru,www.list-org.com
7725289865,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОФТЛАЙН ИНТЕГРАЦИЯ""",1039,62,Г. МОСКВА,+7-495-972-92-71,—,www.list-org.com
7710013769,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ И КОММУНИКАЦИОННЫЕ СИСТЕМЫ""",1025,62,Г. МОСКВА,+7-495-737-61-92,—,www.list-org.com
7718668887,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПОЗИТИВ ТЕКНОЛОДЖИЗ""",1019,62,Г. МОСКВА,+7-495-744-01-44,http://ptsecurity.com,www.list-org.com
7734358970,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОСАТОМ АВТОМАТИЗИРОВАННЫЕ СИСТЕМЫ УПРАВЛЕНИЯ""",1015,62,Г. МОСКВА,+7-499-198-97-64,—,www.list-org.com
7707500530,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЕВРАЗТЕХНИКА""",1013,62,Г. МОСКВА,+7-495-933-23-51,—,www.list-org.com
7706444385,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УСКОРЕНИЕ БИЗНЕСА""",1006,62,Г. МОСКВА,+7-495-926-15-88,https://www.1cbit.ru,www.list-org.com
7723809533,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""М ТЕХ""",997,62,Г. МОСКВА,+7-985-991-37-42,—,www.list-org.com
7714415613,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВК ЦИФРОВЫЕ ТЕХНОЛОГИИ""",997,62,Г. МОСКВА,+7-495-725-63-57,—,www.list-org.com
7707444772,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕГАТЕХ""",993,62,Г. МОСКВА,+7-926-714-74-66,—,www.list-org.com
7726604816,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ РУССКИЕ БАЗОВЫЕ ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ""",989,62,Г. МОСКВА,+7-916-677-70-84,www.rusbitech.ru,www.list-org.com
5906159906,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РТ МЕДИЦИНСКИЕ ИНФОРМАЦИОННЫЕ СИСТЕМЫ""",958,62,"ПЕРМСКИЙ КРАЙ,Г. ПЕРМЬ",+7-342-263-11-99,—,www.list-org.com
9725097780,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛЕ МОНЛИД ЦИФРОВЫЕ ТЕХНОЛОГИИ""",950,62,Г. МОСКВА,—,—,www.list-org.com
7729715592,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ  ""СЕРВИСНЫЙ ЦЕНТР ФЕСКО""",917,62,Г. МОСКВА,+7-495-926-80-00,—,www.list-org.com
6625034780,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ДИАЙПИ""",916,62,"ЧЕЛЯБИНСКАЯ ОБЛАСТЬ,Г ЧЕЛЯБИНСК",+7-351-255-62-30,—,www.list-org.com
9731050500,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БКС ФИНТЕХ""",904,62,Г. МОСКВА,+7-499-951-19-61,—,www.list-org.com
7709988672,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕЛЛЕКТУАЛЬНЫЕ СИСТЕМЫ""",876,62,Г. МОСКВА,+7-812-602-27-72,—,www.list-org.com
7801019126,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЭКСАЙН""",873,62,Г. САНКТ-ПЕТЕРБУРГ,+7-812-326-12-99,www.billing.ru,www.list-org.com
7703807270,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВЫЕ ОБЛАЧНЫЕ ТЕХНОЛОГИИ""",868,62,"РЕСПУБЛИКА ТАТАРСТАН (ТАТАРСТАН),ВЕРХНЕУСЛОНСКИЙ Р-Н",+7-964-783-24-44,www.ncloudtech.ru,www.list-org.com
4027145240,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АСТРАЛ-СОФТ""",868,62,"Калужская область,ГОРОДСКОЙ ОКРУГ ГОРОД КАЛУГА",+7-4842-78-89-99,—,www.list-org.com
7701839238,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НЕОФЛЕКС КОНСАЛТИНГ""",860,62,Г. МОСКВА,+7-910-408-29-82,http://neoflex.ru,www.list-org.com
7736249247,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОМКЛИК""",831,62,Г. МОСКВА,+7-495-120-18-43,center-msk.ru,www.list-org.com
7729058675,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИНФОСИСТЕМЫ ДЖЕТ""",827,62,Г. МОСКВА,+7-495-411-76-01,http://jet.msk.su,www.list-org.com
7706131706,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НАУЧНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ ""ГАРАНТ-СЕРВИС-УНИВЕРСИТЕТ""",805,62,Г. МОСКВА,+7-495-930-81-50,—,www.list-org.com
7704389192,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХНОЛОГИИ 211""",802,62,Г. МОСКВА,+7-495-739-70-00,—,www.list-org.com
4823055193,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЛМК-Информационные технологии""",800,62,"ЛИПЕЦКАЯ ОБЛАСТЬ,Г ЛИПЕЦК",+7-909-223-21-42,—,www.list-org.com
7703437171,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПИК ТЕХНОЛОГИИ""",792,62,Г. МОСКВА,+7-495-505-97-33,—,www.list-org.com
7711000890,"ФЕДЕРАЛЬНОЕ ГОСУДАРСТВЕННОЕ УНИТАРНОЕ ПРЕДПРИЯТИЕ ""НАУЧНО-ИССЛЕДОВАТЕЛЬСКИЙ ИНСТИТУТ ""КВАНТ""",787,62,Г. МОСКВА,+7-495-154-80-21,http://rdi-kvant.ru,www.list-org.com
7704211201,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТАКСКОМ""",775,62,Г. МОСКВА,+7-495-730-73-47,https://taxcom.ru,www.list-org.com
7801378904,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИГМА""",766,62,Г. САНКТ-ПЕТЕРБУРГ,+7-812-602-27-72,www.sigma-it.ru,www.list-org.com
9729274905,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГЛОУБАЙТ АНАЛИТИЧЕСКИЕ РЕШЕНИЯ""",764,62,Г. МОСКВА,—,—,www.list-org.com
7801489298,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОРУС КОНСАЛТИНГ СРМ""",753,62,Г. САНКТ-ПЕТЕРБУРГ,+7-812-324-24-57,—,www.list-org.com
7702764666,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕНТРА ИТ РЕШЕНИЯ""",748,62,Г. МОСКВА,+7-495-961-14-07,—,www.list-org.com
7715670503,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АКТИОН-ДИДЖИТАЛ""",746,62,Г. МОСКВА,+7-495-788-53-21,http://1kadry.ru,www.list-org.com
7731030797,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ИНТЕЛ А/О""",741,62,Г. МОСКВА,+7-495-787-27-00,—,www.list-org.com
1660002574,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ИНЖЕНЕРНЫЙ ЦЕНТР ""ИНКОМСИСТЕМ""",727,62,"РЕСПУБЛИКА ТАТАРСТАН (ТАТАРСТАН),Г. КАЗАНЬ",+7-843-273-97-07,www.incomsystem.ru,www.list-org.com
1902022558,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РУСГИДРО ИТ СЕРВИС""",725,62,"Красноярский край,ГОРОДСКОЙ ОКРУГ ГОРОД КРАСНОЯРСК",+7-915-201-89-11,—,www.list-org.com
5407976532,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛРОСА ИНФОРМАЦИОННЫЕ ТЕХНОЛОГИИ""",715,62,"НОВОСИБИРСКАЯ ОБЛАСТЬ,Г. НОВОСИБИРСК",+7-495-620-92-50,—,www.list-org.com
7811554010,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УМНОЕ ПРОСТРАНСТВО""",706,62,Г. МОСКВА,+7-952-279-42-46,—,www.list-org.com
7704403295,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЯНДЕКС ФАНТЕХ""",703,62,Г. МОСКВА,+7-495-739-70-00,—,www.list-org.com
7713211631,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""НАУЧНО-ПРОМЫШЛЕННАЯ КОМПАНИЯ ""ВЫСОКИЕ ТЕХНОЛОГИИ И СТРАТЕГИЧЕСКИЕ СИСТЕМЫ""",702,62,Г. МОСКВА,+7-495-962-60-04,—,www.list-org.com
6671228290,"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СЕРВИС-ГАЗИФИКАЦИЯ""",694,62,"СВЕРДЛОВСКАЯ ОБЛАСТЬ,ГОРОД ЕКАТЕРИНБУРГ",+7-343-235-04-77,—,www.list-org.com
7709849809,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РОКИТСОФТ""",692,62,Г. МОСКВА,—,—,www.list-org.com
